"question";"option";"input_type";"input_id";"dependence";"dependence_value";"required"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";"не було комунікації";"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";1;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";2;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";3;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";4;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";5;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";6;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";7;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";8;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";9;"matrix";"q11";"NA";"NA";"TRUE"
"Адміністративно-господарське управління (Ревуцький Володимир Васильович)";10;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";"не було комунікації";"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";1;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";2;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";3;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";4;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";5;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";6;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";7;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";8;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";9;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент банкнотного бізнесу (Комашко Олена Леонідівна)";10;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";"не було комунікації";"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";1;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";2;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";3;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";4;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";5;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";6;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";7;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";8;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";9;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент безпеки (Ткачук Іван Васильович)";10;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";"не було комунікації";"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";1;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";2;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";3;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";4;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";5;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";6;"matrix";"q11";"NA";"NA";"TRUE"
"Департамент валютного нагляду (Лосенко Руслан Петрович)";7;"matrix";"q11";"NA";"NA";"TRUE"
