question;option;input_type;input_id;dependence;dependence_value;required
Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;1 - зовсім не забезпечує: інформація часто запізнюється, нечітка або відсутня;mc;q_11_Комунікація_та_підтримка-Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;NA;NA;TRUE
Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;2 – переважно ні: іноді інформує, але часто виникає плутанина або затримки у комунікації;mc;q_11_Комунікація_та_підтримка-Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;NA;NA;TRUE
Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;3 – частково забезпечує: іноді комунікація якісна, але не має стабільності;mc;q_11_Комунікація_та_підтримка-Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;NA;NA;TRUE
Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;4 – переважно забезпечує: зазвичай спілкується чітко й вчасно;mc;q_11_Комунікація_та_підтримка-Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;NA;NA;TRUE
Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;5 – повністю забезпечує: комунікація завжди чітка, своєчасна і відкрита;mc;q_11_Комунікація_та_підтримка-Регіональний директор забезпечує чітку, своєчасну та відкриту комунікацію з Вами?;NA;NA;TRUE
Наскільки своєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;1 - зворотного зв’язку не має або він демотивує, нечіткий і неконструктивний, все вирішую самостійно;mc;q_12_Комунікація_та_підтримка-Наскільки свєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;NA;NA;TRUE
Наскільки своєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;2 – дуже рідко отримую, він поверхневий і не допомагає в роботі;mc;q_12_Комунікація_та_підтримка-Наскільки свєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;NA;NA;TRUE
Наскільки своєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;3 – отримую іноді, інколи корисний, але часто не чіткий або з запізненням;mc;q_12_Комунікація_та_підтримка-Наскільки свєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;NA;NA;TRUE
Наскільки своєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;4 – переважно своєчасний, конструктивний і допомагає коригувати дії;mc;q_12_Комунікація_та_підтримка-Наскільки свєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;NA;NA;TRUE
Наскільки своєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;5 – регулярний, чіткий, корисний, мотивує до розвитку й покращення результатів;mc;q_12_Комунікація_та_підтримка-Наскільки свєчасним та ефективним є зворотний зв’язок, який Ви отримуєте від регіонального директора?;NA;NA;TRUE
Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;1 - зовсім не надає підтримки або уникає участі у вирішенні складних питань;mc;q_13_Комунікація_та_підтримка-Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;NA;NA;TRUE
Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;2 - підтримка рідко надається, часто формальна або неефективна;mc;q_13_Комунікація_та_підтримка-Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;NA;NA;TRUE
Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;3 – іноді допомагає, але не завжди своєчасно та результативно;mc;q_13_Комунікація_та_підтримка-Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;NA;NA;TRUE
Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;4 – переважно залучається, допомагає знайти рішення в складних ситуаціях;mc;q_13_Комунікація_та_підтримка-Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;NA;NA;TRUE
Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;5 – завжди активно долучається, надає дієву підтримку, допомагає вирішити проблеми;mc;q_13_Комунікація_та_підтримка-Наскільки ефективною є  практична підтримка регіонального директора у вирішенні складних питань, що виникають на відділенні? ;NA;NA;TRUE
Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;1 -  рішення часто суб’єктивні, упереджені або базуються на особистому ставленні;mc;q_14_Комунікація_та_підтримка-Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;NA;NA;TRUE
Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;2 - є прояви упередженості, не всі оцінки роботи виглядають справедливими;mc;q_14_Комунікація_та_підтримка-Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;NA;NA;TRUE
Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;3 – іноді рішення об’єктивні, іноді – викликають сумніви щодо неупередженості;mc;q_14_Комунікація_та_підтримка-Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;NA;NA;TRUE
Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;4 – переважно керується фактами та результатами, оцінки зазвичай справедливі;mc;q_14_Комунікація_та_підтримка-Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;NA;NA;TRUE
Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;5 – завжди приймає рішення з опорою на факти, оцінки прозорі та неупереджені;mc;q_14_Комунікація_та_підтримка-Наскільки об’єктивним є регіональний директор у прийнятті управлінських рішень та оцінці роботи?;NA;NA;TRUE
Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;1 - не залучається взагалі або робить це лише формально;mc;q_21_Взаємодія з клієнтами та персоналом-Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;NA;NA;TRUE
Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;2  - дуже рідко бере участь у зустрічах або лише у виняткових випадках;mc;q_21_Взаємодія з клієнтами та персоналом-Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;NA;NA;TRUE
Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;3 - іноді долучається, але без стабільності і активної ролі;mc;q_21_Взаємодія з клієнтами та персоналом-Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;NA;NA;TRUE
Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;4 - переважно залучений, підтримує зустрічі з потенційними клієнтами;mc;q_21_Взаємодія з клієнтами та персоналом-Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;NA;NA;TRUE
Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;5 - активно та регулярно працює з потенційними клієнтами;mc;q_21_Взаємодія з клієнтами та персоналом-Наскільки активно регіональний директор залучається до роботи з потенційними клієнтами відділення безпосередньо « в полях»?;NA;NA;TRUE
Регіональний директор бере участь у підборі персоналу для відділення ?;1 - не бере участі взагалі;mc;q_22_Взаємодія з клієнтами та персоналом-Регіональний директор бере участь у підборі персоналу для відділення ?;NA;NA;TRUE
Регіональний директор бере участь у підборі персоналу для відділення ?;2 - дуже обмежена участь, лише в окремих питаннях;mc;q_22_Взаємодія з клієнтами та персоналом-Регіональний директор бере участь у підборі персоналу для відділення ?;NA;NA;TRUE
Регіональний директор бере участь у підборі персоналу для відділення ?;3 - залучається вибірково, участь, участь не постійна;mc;q_22_Взаємодія з клієнтами та персоналом-Регіональний директор бере участь у підборі персоналу для відділення ?;NA;NA;TRUE
Регіональний директор бере участь у підборі персоналу для відділення ?;4 - переважно залучений, взаємодіє  та надає підримку в підборі;mc;q_22_Взаємодія з клієнтами та персоналом-Регіональний директор бере участь у підборі персоналу для відділення ?;NA;NA;TRUE
Регіональний директор бере участь у підборі персоналу для відділення ?;5 - активно долучений до процесу, регулярно взаємодіє і дає рекомендації;mc;q_22_Взаємодія з клієнтами та персоналом-Регіональний директор бере участь у підборі персоналу для відділення ?;NA;NA;TRUE
Регіональний директор відвідує відділення з метою надання реальної підтримки та контролю за ключовими процесами – такими як: розвиток бізнес зростання напрямків відділення, якість обслуговування клієнтів, управління ризиками, виконання планових показників, інше?;1  - не відвідує взагалі ( 0 в квартал);mc;q_23_Взаємодія з клієнтами та персоналом-Регіональний директор відвідує відділення з метою надання реальної підтримки та контролю за ключовими процесами – такими як розвиток бізнес зростання напрямків відділення, якість обслуговування клієнтів, управління ризиками, виконання планових показників, інше?;NA;NA;TRUE
